#scheme	genus	species	description	n_loci	source	database_url	pubmed_id	citation
aactinomycetemcomitans	Aggregatibacter	actinomycetemcomitans	Aggregatibacter actinomycetemcomitans MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_aactinomycetemcomitans_seqdef&page=schemeInfo&scheme_id=1		
abaumannii	Acinetobacter	baumannii	Acinetobacter baumannii MLST (Oxford)	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_seqdef&page=schemeInfo&scheme_id=1	16145081	Bartual SG, Seifert H, Hippler C, et al. Development of a multilocus sequence typing scheme for characterization of clinical isolates of Acinetobacter baumannii. J Clin Microbiol 2005;43:4382-90.
abaumannii_2	Acinetobacter	baumannii	Acinetobacter baumannii MLST (Pasteur)	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_seqdef&page=schemeInfo&scheme_id=2	20383326	Diancourt L, Passet V, Nemec A, et al. The population structure of Acinetobacter baumannii: expanding multiresistant clones from an ancestral susceptible genetic pool. PLoS One 2010;5:e10034.
achromobacter	Achromobacter		Achromobacter spp. MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_achromobacter_seqdef&page=schemeInfo&scheme_id=1		
aeromonas	Aeromonas		Aeromonas spp. MLST	6	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_aeromonas_seqdef&page=schemeInfo&scheme_id=1		
aparagallinarum	Avibacterium	paragallinarum	Avibacterium paragallinarum MLST (Guo)	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_aparagallinarum_seqdef&page=schemeInfo&scheme_id=1		
aphagocytophilum	Anaplasma	phagocytophilum	Anaplasma phagocytophilum MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_aphagocytophilum_seqdef&page=schemeInfo&scheme_id=1	24699849	Huhn C, Winter C, Wolfsperger T, et al. Analysis of the population structure of Anaplasma phagocytophilum using multilocus sequence typing. PLoS One 2014;9:e93725.
arcobacter	Arcobacter		Arcobacter spp. MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_arcobacter_seqdef&page=schemeInfo&scheme_id=1	19751525	Miller WG, Wesley IV, On SL, et al. First multi-locus sequence typing scheme for Arcobacter spp. BMC Microbiol 2009;9:196.
bbacilliformis	Bartonella	bacilliformis	Bartonella bacilliformis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_bbacilliformis_seqdef&page=schemeInfo&scheme_id=1	21811647	Chaloner GL, Palmira Ventosilla, Birtles RJ. Multi-locus sequence analysis reveals profound genetic diversity among isolates of the human pathogen Bartonella bacilliformis. PLoS Negl Trop Dis 2011;5:e1248.
bcc	Burkholderia		Burkholderia cepacia complex MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_bcc_seqdef&page=schemeInfo&scheme_id=1	16145124	Baldwin A, Mahenthiralingam E, Thickett KM, et al. Multilocus sequence typing scheme that provides both species and strain differentiation for the Burkholderia cepacia complex. J Clin Microbiol 2005;43:4665-73.
bcereus	Bacillus	cereus	Bacillus cereus group MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_bcereus_seqdef&page=schemeInfo&scheme_id=1	15547268	Priest FG, Barker M, Baillie LW, et al. Population structure and evolution of the Bacillus cereus group. J Bacteriol 2004;186:7959-70.
bfragilis	Bacteroides	fragilis	Bacteroides fragilis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_bfragilis_seqdef&page=schemeInfo&scheme_id=1	36943061	Nielsen FD, Skov MN, Sydenham TV, et al. Development and Clinical Application of a Multilocus Sequence Typing Scheme for Bacteroides fragilis Based on Whole-Genome Sequencing Data. Microbiol Spectr 2023;11:e0511122.
bhenselae	Bartonella	henselae	Bartonella henselae MLST	8	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_bhenselae_seqdef&page=schemeInfo&scheme_id=1		
blicheniformis_14	Bacillus	licheniformis	Bacillus licheniformis MLST	6	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_blicheniformis_seqdef&page=schemeInfo&scheme_id=14		
bordetella_3	Bordetella	pertussis	Bordetella pertussis MLST (Pasteur)	7	pasteur	https://bigsdb.pasteur.fr/cgi-bin/bigsdb/bigsdb.pl?db=pubmlst_bordetella_seqdef&page=schemeInfo&scheme_id=3	16389302	Diavatopoulos DA, Cummings CA, Schouls LM, et al. Bordetella pertussis, the causative agent of whooping cough, evolved from a distinct, human-associated lineage of B. bronchiseptica. PLoS Pathog 2005;1:e45.
