#SCHEME	SOURCE	DB	SCHEME_ID	NLOCI	ALIAS_OF
aactinomycetemcomitans	pubmlst	pubmlst_aactinomycetemcomitans_seqdef	1	7	-
abaumannii	pubmlst	pubmlst_abaumannii_seqdef	1	7	-
abaumannii_2	pubmlst	pubmlst_abaumannii_seqdef	2	7	-
achromobacter	pubmlst	pubmlst_achromobacter_seqdef	1	7	-
aeromonas	pubmlst	pubmlst_aeromonas_seqdef	1	6	-
aparagallinarum	pubmlst	pubmlst_aparagallinarum_seqdef	1	7	-
aphagocytophilum	pubmlst	pubmlst_aphagocytophilum_seqdef	1	7	-
arcobacter	pubmlst	pubmlst_arcobacter_seqdef	1	7	-
bbacilliformis	pubmlst	pubmlst_bbacilliformis_seqdef	1	7	-
bcc	pubmlst	pubmlst_bcc_seqdef	1	7	-
bcereus	pubmlst	pubmlst_bcereus_seqdef	1	7	-
bfragilis	pubmlst	pubmlst_bfragilis_seqdef	1	7	-
bhenselae	pubmlst	pubmlst_bhenselae_seqdef	1	8	-
blicheniformis_14	pubmlst	pubmlst_blicheniformis_seqdef	14	6	-
bordetella_3	pasteur	pubmlst_bordetella_seqdef	3	7	-
borrelia	pubmlst	pubmlst_borrelia_seqdef	1	8	-
bpseudomallei	pubmlst	pubmlst_bpseudomallei_seqdef	1	7	-
brachyspira	pubmlst	pubmlst_brachyspira_seqdef	1	7	-
brachyspira_2	pubmlst	pubmlst_brachyspira_seqdef	2	7	-
brachyspira_3	pubmlst	pubmlst_brachyspira_seqdef	3	7	-
brachyspira_4	pubmlst	pubmlst_brachyspira_seqdef	4	7	-
brachyspira_5	pubmlst	pubmlst_brachyspira_seqdef	5	6	-
brucella	pubmlst	pubmlst_brucella_seqdef	1	9	-
bsubtilis	pubmlst	pubmlst_bsubtilis_seqdef	1	7	-
bwashoensis	pubmlst	pubmlst_bwashoensis_seqdef	1	6	-
campylobacter	pubmlst	pubmlst_campylobacter_seqdef	1	7	-
campylobacter_nonjejuni	pubmlst	pubmlst_campylobacter_nonjejuni_seqdef	1	7	-
campylobacter_nonjejuni_2	pubmlst	pubmlst_campylobacter_nonjejuni_seqdef	2	7	-
campylobacter_nonjejuni_3	pubmlst	pubmlst_campylobacter_nonjejuni_seqdef	3	7	-
campylobacter_nonjejuni_4	pubmlst	pubmlst_campylobacter_nonjejuni_seqdef	4	7	-
campylobacter_nonjejuni_5	pubmlst	pubmlst_campylobacter_nonjejuni_seqdef	5	7	-
campylobacter_nonjejuni_6	pubmlst	pubmlst_campylobacter_nonjejuni_seqdef	6	7	-
campylobacter_nonjejuni_7	pubmlst	pubmlst_campylobacter_nonjejuni_seqdef	7	7	-
campylobacter_nonjejuni_8	pubmlst	pubmlst_campylobacter_nonjejuni_seqdef	8	7	-
campylobacter_nonjejuni_9	pubmlst	pubmlst_campylobacter_nonjejuni_seqdef	9	7	-
cbotulinum	pubmlst	pubmlst_cbotulinum_seqdef	1	7	-
cdifficile	pubmlst	pubmlst_cdifficile_seqdef	1	7	-
cdiphtheriae	pasteur	pubmlst_diphtheria_seqdef	3	7	diphtheria_3
cfreundii	pubmlst	pubmlst_cfreundii_seqdef	1	7	-
chlamydiales	pubmlst	pubmlst_chlamydiales_seqdef	1	7	-
cmaltaromaticum	pubmlst	pubmlst_cmaltaromaticum_seqdef	1	7	-
cperfringens	pubmlst	pubmlst_cperfringens_seqdef	1	8	-
cronobacter	pubmlst	pubmlst_cronobacter_seqdef	1	7	-
csepticum	pubmlst	pubmlst_csepticum_seqdef	1	7	-
diphtheria_3	pasteur	pubmlst_diphtheria_seqdef	3	7	-
dnodosus	pubmlst	pubmlst_dnodosus_seqdef	1	7	-
ecloacae	pubmlst	pubmlst_ecloacae_seqdef	1	7	-
ecoli	pasteur	pubmlst_ecoli_seqdef	1	8	-
ecoli_achtman_4	pubmlst	pubmlst_ecoli_achtman_seqdef	4	7	-
edwardsiella	pubmlst	pubmlst_edwardsiella_seqdef	1	10	-
efaecalis	pubmlst	pubmlst_efaecalis_seqdef	1	7	-
efaecium	pubmlst	pubmlst_efaecium_seqdef	1	7	-
fpsychrophilum	pubmlst	pubmlst_fpsychrophilum_seqdef	1	7	-
gallibacterium	pubmlst	pubmlst_gallibacterium_seqdef	1	8	-
geotrichum	pubmlst	pubmlst_geotrichum_seqdef	1	5	-
halobacteria	pubmlst	pubmlst_halobacteria_seqdef	1	5	-
hcinaedi	pubmlst	pubmlst_hcinaedi_seqdef	1	7	-
helicobacter	pubmlst	pubmlst_helicobacter_seqdef	1	7	-
hinfluenzae	pubmlst	pubmlst_hinfluenzae_seqdef	1	7	-
hparasuis	pubmlst	pubmlst_hparasuis_seqdef	1	7	-
hsuis	pubmlst	pubmlst_hsuis_seqdef	1	7	-
kaerogenes	pubmlst	pubmlst_kaerogenes_seqdef	1	7	-
kingella	pasteur	pubmlst_kingella_seqdef	1	6	-
klebsiella	pasteur	pubmlst_klebsiella_seqdef	1	7	-
koxytoca	pubmlst	pubmlst_koxytoca_seqdef	1	7	-
leptospira	pubmlst	pubmlst_leptospira_seqdef	1	7	-
leptospira_2	pubmlst	pubmlst_leptospira_seqdef	2	7	-
leptospira_3	pubmlst	pubmlst_leptospira_seqdef	3	6	-
lgarvieae	pubmlst	pubmlst_lgarvieae_seqdef	1	7	-
liberibacter	pubmlst	pubmlst_liberibacter_seqdef	1	7	-
listeria_2	pasteur	pubmlst_listeria_seqdef	2	7	-
llactis_phage	pubmlst	pubmlst_llactis_phage_seqdef	1	5	-
lsalivarius	pubmlst	pubmlst_lsalivarius_seqdef	1	5	-
mabscessus	pubmlst	pubmlst_mabscessus_seqdef	1	7	-
magalactiae	pubmlst	pubmlst_magalactiae_seqdef	1	5	-
mamphoriforme	pubmlst	pubmlst_mamphoriforme_seqdef	1	4	-
manserisalpingitidis	pubmlst	pubmlst_manserisalpingitidis_seqdef	1	5	-
mbovis	pubmlst	pubmlst_mbovis_seqdef	1	7	-
mbovis_2	pubmlst	pubmlst_mbovis_seqdef	2	7	-
mcanis	pubmlst	pubmlst_mcanis_seqdef	1	7	-
mcaseolyticus	pubmlst	pubmlst_mcaseolyticus_seqdef	1	7	-
mcatarrhalis_achtman_6	pubmlst	pubmlst_mcatarrhalis_achtman_seqdef	6	8	-
mflocculare	pubmlst	pubmlst_mflocculare_seqdef	1	3	-
mgallisepticum	pubmlst	pubmlst_mgallisepticum_seqdef	1	7	-
mgallisepticum_2	pubmlst	pubmlst_mgallisepticum_seqdef	2	6	-
mgenitalium	pubmlst	pubmlst_mgenitalium_seqdef	2	6	-
mhaemolytica	pubmlst	pubmlst_mhaemolytica_seqdef	1	7	-
mhominis	pubmlst	pubmlst_mhominis_seqdef	1	5	-
mhominis_3	pubmlst	pubmlst_mhominis_seqdef	3	10	-
mhyopneumoniae	pubmlst	pubmlst_mhyopneumoniae_seqdef	1	3	-
mhyorhinis	pubmlst	pubmlst_mhyorhinis_seqdef	1	6	-
mhyosynoviae	pubmlst	pubmlst_mhyosynoviae_seqdef	1	7	-
miowae	pubmlst	pubmlst_miowae_seqdef	1	6	-
mplutonius	pubmlst	pubmlst_mplutonius_seqdef	1	4	-
mpneumoniae	pubmlst	pubmlst_mpneumoniae_seqdef	1	8	-
msciuri	pubmlst	pubmlst_msciuri_seqdef	1	7	-
msynoviae	pubmlst	pubmlst_msynoviae_seqdef	1	7	-
mycobacteria_2	pubmlst	pubmlst_mycobacteria_seqdef	2	8	-
neisseria	pubmlst	pubmlst_neisseria_seqdef	1	7	-
oralstrep	pubmlst	pubmlst_oralstrep_seqdef	1	7	-
orhinotracheale	pubmlst	pubmlst_orhinotracheale_seqdef	1	7	-
otsutsugamushi	pubmlst	pubmlst_otsutsugamushi_seqdef	1	7	-
pacnes_3	pubmlst	pubmlst_pacnes_seqdef	3	8	-
paeruginosa	pubmlst	pubmlst_paeruginosa_seqdef	1	7	-
pdamselae	pubmlst	pubmlst_pdamselae_seqdef	1	6	-
pfluorescens	pubmlst	pubmlst_pfluorescens_seqdef	1	7	-
pgingivalis	pubmlst	pubmlst_pgingivalis_seqdef	1	7	-
plarvae	pubmlst	pubmlst_plarvae_seqdef	1	7	-
pmultocida	pubmlst	pubmlst_pmultocida_seqdef	1	7	-
pmultocida_2	pubmlst	pubmlst_pmultocida_seqdef	2	7	-
ppentosaceus	pubmlst	pubmlst_ppentosaceus_seqdef	1	7	-
pputida	pubmlst	pubmlst_pputida_seqdef	1	8	-
proteus	pubmlst	pubmlst_proteus_seqdef	1	6	-
providencia	pubmlst	pubmlst_providencia_seqdef	1	5	-
psalmonis	pubmlst	pubmlst_psalmonis_seqdef	1	7	-
ranatipestifer	pubmlst	pubmlst_ranatipestifer_seqdef	1	7	-
rhodococcus	pubmlst	pubmlst_rhodococcus_seqdef	1	7	-
sagalactiae	pubmlst	pubmlst_sagalactiae_seqdef	1	7	-
salmonella	pubmlst	pubmlst_salmonella_seqdef	2	7	-
saureus	pubmlst	pubmlst_saureus_seqdef	1	7	-
sbsec	pubmlst	pubmlst_sbsec_seqdef	1	10	-
scanis	pubmlst	pubmlst_scanis_seqdef	1	7	-
schromogenes	pubmlst	pubmlst_schromogenes_seqdef	1	7	-
sdysgalactiae	pubmlst	pubmlst_sdysgalactiae_seqdef	1	7	-
senterica_achtman_2	pubmlst	pubmlst_senterica_achtman_seqdef	2	7	-
sepidermidis	pubmlst	pubmlst_sepidermidis_seqdef	1	7	-
serratia	pubmlst	pubmlst_serratia_seqdef	1	6	-
sgallolyticus	pubmlst	pubmlst_sgallolyticus_seqdef	1	7	-
shaemolyticus	pubmlst	pubmlst_shaemolyticus_seqdef	1	7	-
shewanella	pubmlst	pubmlst_shewanella_seqdef	1	8	-
shominis	pubmlst	pubmlst_shominis_seqdef	1	6	-
siniae	pubmlst	pubmlst_siniae_seqdef	1	8	-
sinorhizobium	pubmlst	pubmlst_sinorhizobium_seqdef	1	10	-
smaltophilia	pubmlst	pubmlst_smaltophilia_seqdef	1	7	-
smitis	pubmlst	pubmlst_smitis_seqdef	1	7	-
spneumoniae	pubmlst	pubmlst_spneumoniae_seqdef	1	7	-
spseudintermedius	pubmlst	pubmlst_spseudintermedius_seqdef	1	7	-
spyogenes	pubmlst	pubmlst_spyogenes_seqdef	1	7	-
ssuis	pubmlst	pubmlst_ssuis_seqdef	1	7	-
staphlugdunensis	pasteur	pubmlst_staphlugdunensis_seqdef	1	7	-
sthermophilus	pubmlst	pubmlst_sthermophilus_seqdef	1	10	-
streptomyces	pubmlst	pubmlst_streptomyces_seqdef	1	6	-
streptothermophilus	pasteur	pubmlst_streptothermophilus_seqdef	1	6	-
suberis	pubmlst	pubmlst_suberis_seqdef	1	7	-
szooepidemicus	pubmlst	pubmlst_szooepidemicus_seqdef	1	7	-
taylorella	pubmlst	pubmlst_taylorella_seqdef	1	7	-
tenacibaculum	pubmlst	pubmlst_tenacibaculum_seqdef	1	7	-
tpallidum	pubmlst	pubmlst_tpallidum_seqdef	1	3	-
tpyogenes	pubmlst	pubmlst_tpyogenes_seqdef	1	7	-
tvaginalis	pubmlst	pubmlst_tvaginalis_seqdef	1	7	-
ureaplasma	pubmlst	pubmlst_ureaplasma_seqdef	1	4	-
vcholerae	pubmlst	pubmlst_vcholerae_seqdef	1	7	-
vcholerae_2	pubmlst	pubmlst_vcholerae_seqdef	2	5	-
vibrio	pubmlst	pubmlst_vibrio_seqdef	1	4	-
vparahaemolyticus	pubmlst	pubmlst_vparahaemolyticus_seqdef	1	7	-
vtapetis	pubmlst	pubmlst_vtapetis_seqdef	1	10	-
vvulnificus	pubmlst	pubmlst_vvulnificus_seqdef	1	10	-
wolbachia	pubmlst	pubmlst_wolbachia_seqdef	1	5	-
xfastidiosa	pubmlst	pubmlst_xfastidiosa_seqdef	1	7	-
yersinia	pubmlst	pubmlst_yersinia_seqdef	1	7	-
ypseudotuberculosis_achtman_3	pubmlst	pubmlst_ypseudotuberculosis_achtman_seqdef	3	7	-
yruckeri	pubmlst	pubmlst_yruckeri_seqdef	1	6	-
